Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,47.779999,48.299999,47.619999,47.799999,47.799999,99843
2021-07-02,47.820000,48.000000,47.380001,47.520000,47.520000,66243
2021-07-05,47.439999,47.860001,47.299999,47.720001,47.720001,55956
2021-07-06,47.259998,47.660000,46.580002,46.840000,46.840000,118861
2021-07-07,46.500000,47.459999,45.000000,46.580002,46.580002,147026
2021-07-08,46.060001,46.560001,45.200001,46.080002,46.080002,148641
2021-07-09,46.040001,46.459999,45.860001,45.980000,45.980000,124924
2021-07-12,46.000000,46.560001,45.599998,46.500000,46.500000,78379
2021-07-13,46.500000,47.500000,46.459999,47.320000,47.320000,110070
2021-07-14,46.900002,47.540001,46.900002,47.320000,47.320000,65541
2021-07-15,47.240002,47.660000,47.139999,47.380001,47.380001,96833
2021-07-16,47.400002,48.020000,46.380001,46.820000,46.820000,136226
2021-07-19,46.599998,46.680000,45.099998,46.040001,46.040001,180580
2021-07-20,46.119999,47.459999,46.119999,46.959999,46.959999,184404
2021-07-21,47.000000,47.380001,46.560001,46.560001,46.560001,175135
2021-07-22,46.820000,46.939999,46.080002,46.099998,46.099998,175583
2021-07-23,46.500000,47.540001,46.060001,46.959999,46.959999,136106
2021-07-26,47.160000,47.380001,46.740002,47.340000,47.340000,76639
2021-07-27,47.259998,47.680000,46.900002,47.380001,47.380001,61090
2021-07-28,47.779999,47.900002,47.139999,47.660000,47.660000,98419
2021-07-29,47.700001,48.419998,47.520000,47.980000,47.980000,124233
2021-07-30,47.080002,47.959999,46.200001,46.480000,46.480000,159644
2021-08-02,47.419998,47.919998,47.000000,47.020000,47.020000,129528
2021-08-03,47.520000,47.520000,46.500000,47.139999,47.139999,73922
2021-08-04,47.380001,47.540001,46.900002,47.099998,47.099998,111323
2021-08-05,46.840000,47.459999,46.639999,47.160000,47.160000,83484
2021-08-06,47.000000,47.419998,46.900002,47.279999,47.279999,87055
2021-08-09,47.500000,47.500000,46.799999,47.180000,47.180000,62010
2021-08-10,47.220001,47.959999,47.139999,47.959999,47.959999,60717
2021-08-11,47.959999,48.560001,47.419998,48.340000,48.340000,91244
2021-08-12,48.380001,48.840000,48.200001,48.639999,48.639999,50819
2021-08-13,48.500000,49.200001,48.259998,49.200001,49.200001,71027
2021-08-16,48.639999,48.980000,48.000000,48.660000,48.660000,64839
2021-08-17,48.540001,48.840000,48.240002,48.419998,48.419998,127123
2021-08-18,48.540001,49.360001,48.320000,48.560001,48.560001,67253
2021-08-19,48.299999,48.459999,47.540001,47.619999,47.619999,86505
2021-08-20,47.619999,47.700001,46.840000,47.560001,47.560001,63100
2021-08-23,47.980000,48.020000,47.279999,47.560001,47.560001,43991
2021-08-24,47.660000,47.740002,47.160000,47.439999,47.439999,77429
2021-08-25,47.139999,48.180000,47.060001,47.580002,47.580002,67509
2021-08-26,47.500000,47.939999,47.259998,47.939999,47.939999,67199
2021-08-27,47.619999,48.139999,47.459999,48.040001,48.040001,63808
2021-08-30,48.200001,48.419998,47.939999,48.200001,48.200001,59142
2021-08-31,48.000000,49.959999,48.000000,48.660000,48.660000,237362
2021-09-01,48.720001,49.320000,47.799999,48.180000,48.180000,72193
2021-09-02,48.240002,49.459999,47.939999,49.419998,49.419998,93724
2021-09-03,49.480000,50.250000,49.419998,49.540001,49.540001,118061
2021-09-06,49.660000,50.049999,49.400002,49.599998,49.599998,47772
2021-09-07,49.580002,49.680000,49.160000,49.340000,49.340000,78177
2021-09-08,49.500000,49.500000,48.279999,48.680000,48.680000,75958
2021-09-09,48.680000,49.040001,48.220001,49.000000,49.000000,59343
2021-09-10,49.000000,49.660000,48.959999,49.500000,49.500000,73268
2021-09-13,49.639999,49.720001,49.139999,49.160000,49.160000,67916
2021-09-14,49.180000,49.500000,48.740002,48.740002,48.740002,125019
2021-09-15,48.660000,49.000000,48.060001,48.099998,48.099998,103666
2021-09-16,48.180000,49.279999,48.180000,48.619999,48.619999,133418
2021-09-17,48.959999,49.180000,48.220001,48.660000,48.660000,278925
